dt_year,age,value_population,notes
2018,86,857115,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,87,781990,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,88,715379,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,89,611251,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,90,539658,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,91,461798,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,92,382081,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,93,319838,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,94,255397,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,95,198075,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,96,150910,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,97,113174,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,98,77872,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,99,52778,PEPSYASEXN_Population Estimate (as of July 1) - 2018
