unit,sex,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
NR,F,Y80-84,BY	146902 	140389 	141887 	146798 	155005 	152028 	155085 	: 	150607 	141959 	138394 	126195 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,CH	126390 	125100 	124411 	123189 	122062 	120742 	119759 	118772 	117693 	116649 	115748 	114842 	113550 	109467 	105244 	101448 	95147 	91111 	92261 	94207 	96789 	99148 	101113 	100366 	99969 	98578 	97080 	95049 	93021 	89496 	87228 	85090 	82437 	79818 	77788 	74883 	71717 	68354 	64994 	62332 	59470 	56809 	54204 	51953 	49677 	47648 	45722 	44732 	43138 	41968 	41117 	40120 	39107 	37961 	37413 	36654 	35428 	34700 
NR,F,Y80-84,CY	9693 	9367 	9068 	8827 	8461 	8274 	7987 	7646 	7449 	7169 	6961 	6735 	6453 	6155 	5882 	5700 	5729 	5753 	5479 	5453 	5392 	5242 	5086 	4929 	4729 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3458 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,CZ	146129 	148352 	151970 	152773 	154154 	152992 	151861 	149491 	149821 	149990 	150263 	149129 	146105 	137642 	121542 	104428 	87605 	77579 	78441 	91037 	104813 	117791 	126115 	126126 	124070 	121618 	119840 	116183 	113019 	110216 	108325 	105940 	105772 	104075 	102109 	98918 	96289 	94115 	91133 	88070 	84734 	81393 	77285 	74637 	72531 	70639 	68300 	68728 	67204 	65321 	63792 	61448 	59420 	57004 	55390 	53509 	51670 	49456 
NR,F,Y80-84,DE	1595430 	1504935 	1441588 	1395604 	1423039 	1440374 	1453620 b	1467528 	1467108 	1461945 	1475031 	1494815 	1504198 	1457978 	1344789 	1201622 	1041539 	922153 	943427 	1069359 	1212888 	1332739 	1397292 	1388714 	1371170 	1343363 	1331015 	1047783 	1013021 	972582 	937124 	904784 	876639 	842133 	819477 	784789 	754933 	725698 	698928 	670139 	643012 	616426 	594736 	571793 	549337 	530597 	509614 	496694 	476186 	459417 	440732 	424926 	407943 	390468 	381564 	369672 	351804 	342422 
NR,F,Y80-84,DE_TOT	1595430 	1504935 	1441588 	1395604 	1423039 	1440374 	1453620 b	1467528 	1467108 	1461945 	1475031 	1494815 	1504198 	1457978 	1344789 	1201622 	1041539 	922153 	943427 	1069359 	1212888 	1332739 	1397292 	1388714 	1371170 	1343363 	1331015 	1297881 	1258008 	1212409 	1173988 	1138277 	1109430 	1071023 	1045828 	1005451 	971614 	938347 	907511 	873588 	840233 	809035 	785039 	756611 	729995 	709887 	684993 	669462 	645841 	624774 	599329 	577836 	555985 	535694 	524416 	510913 	432096 	481708 
NR,F,Y80-84,DK	74391 	72159 	70698 	69385 	69254 	69169 	69575 	70329 	71461 	72153 	72946 	74230 	75487 	74659 	74320 	74200 	72663 	70330 	71552 	71812 	72726 	73402 	74613 	74660 	74686 	73646 	72933 	71656 	69648 	67826 	66548 	65139 	63576 	61762 	60433 	58512 	56978 	55528 	53857 	51966 	49710 	47635 	45641 	43909 	41947 	40703 	38905 	37511 	36460 	35074 	34010 	33110 	31739 	30442 	29471 	28572 	27830 	26682 
NR,F,Y80-84,EA18	6135705 bp	6032132 p	5986140 b	5902453 	5882890 	5835581 	5801837 b	5725275 	5679098 	5620003 	5593372 	5552125 	5499596 	5208106 	4791420 	4320186 	3846609 	3492430 	3594894 	3877351 	4210985 	4466656 	4592736 	4523312 	4447697 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3204508 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,EA19	6198286 bp	6093378 p	6046987 b	5963097 	5943837 	5895149 	5860744 b	5783354 	5736206 	5675025 	5646644 	5603212 	5547409 	5252167 	4830126 	4353672 	3876592 	3521220 	3623973 	3908120 	4244902 	4502539 	4630819 	4562004 	4487022 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3235517 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,EE	26670 	26198 	26010 b	26495 	26965 	26539 	25970 	25330 	24600 	23780 	23000 	22000 	20490 	18850 	17300 	15510 	14130 	14080 	14451 	15046 	16481 	17775 	18839 	19004 	19166 	19030 	18892 	18460 	18203 	18117 	18108 	17695 	17801 	17533 	17185 	16371 	16029 	15216 	14834 	14463 	14401 	14246 	13903 	13772 	13569 	13203 	12874 	12687 	12510 	12112 	11955 	11458 	11098 	10733 	10233 	9877 	9788 	9359 
NR,F,Y80-84,EEA30	8733315 bp	8602923 ep	8558867 be	8459380 e	8435339 	8350175 	8297064 b	8192442 	8130772 	8019413 	7960096 	7912434 	7808145 	7468296 	6930164 	6312689 	5685132 	5211853 	5301882 	5692619 	6153650 	6498042 	6671040 	6579756 	6492317 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,EEA31	8815742 bp	8684560 ep	8639981 be	8538692 e	8512138 	8423695 	8368440 b	8261195 	8198366 	8085841 	8026192 	7977339 	7871879 	7528985 	6984279 	6359279 	5723357 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,EFTA	190486 	189503 	189834 	189434 	189658 	188612 	188469 	187881 	188343 	188684 	189838 	190492 	191272 	186273 	181173 	176660 	168738 	161619 	162959 	163663 	165010 	166305 	167304 	165728 	164408 	161746 	158969 	155793 	152278 	147872 	144545 	141243 	137725 	133513 	130076 	125505 	120912 	115906 	111177 	106745 	102075 	97734 	93465 	89722 	85651 	: 	79423 	: 	75193 	73342 	71315 	68867 	66905 	64968 	64461 	63240 	62074 	61072 
NR,F,Y80-84,EL	225643 	221963 	218280 	214071 	209748 	205080 	202044 	195221 	186328 	175920 	166333 	153674 	143550 	136890 	131033 	127409 	117874 	116103 	118578 	110114 	122270 	123548 	122127 	121557 	126452 	112066 	110522 	102664 	101265 	98860 	97264 	95698 	101500 	96412 	93862 	86522 	82758 	78706 	74120 	67008 	65810 	62912 	62031 	61605 	63301 	62241 	61348 	64128 	46200 	56366 	43927 	61028 	42852 	56609 	39572 	52937 	32156 	: 
NR,F,Y80-84,ES	863377 	852270 	852246 	842088 	825164 	801547 	785758 	759311 	741529 	718868 	706861 	681087 	660592 	625363 	597354 	560805 	536763 	516129 	514746 	507946 	505772 	501808 	496896 	485182 	473367 	456889 	444577 	429334 	417052 	404523 	392955 	378584 	369763 	348315 	330374 	308968 	296971 	269589 	265223 	256405 	252197 	236659 	231649 	223626 	222914 	212211 	214413 	203122 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,EU27	8669219 bp	8538520 ep	8493444 be	8393135 e	8367743 	8282305 	8228354 b	8123333 	8060122 	7947378 	7886006 	7836784 	7730423 	7391490 	6854235 	6237477 	5611541 	5141345 	5231184 	5623163 	6085429 	6430885 	6604849 	6514394 	6427878 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,EU28	8751646 bp	8620157 ep	8574558 be	8472447 e	8444542 	8355825 	8299730 b	8192086 	8127716 	8013806 	7952102 	7901689 	7794157 	7452179 	6908350 	6284067 	5649766 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,FI	88021 	87847 	88410 	89561 	91302 	91239 	90688 	89487 	87427 	86246 	84986 	83845 	82359 	77889 	74808 	72475 	69272 	66183 	68499 	67856 	68007 	68596 	68950 	68381 	67947 	66333 	64690 	62553 	60203 	57601 	54815 	52322 	50459 	48051 	46505 	44023 	41664 	39708 	37184 	34327 	32165 	30437 	28595 	27278 	26368 	25830 	24895 	24403 	23834 	23096 	22626 	21890 	21543 	20667 	19935 	19440 	19380 	18844 
NR,F,Y80-84,FR	1130683 p	1140172 p	1154476 b	1148650 	1147477 	1133774 	1127432 	1112721 	1108465 	1100617 	1095261 	1093057 	1087115 	1007274 	915171 	806904 	680623 	569099 	604859 	662987 	739913 	818050 	877150 	864845 	853437 	832621 	824910 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,FX	: 	: 	: 	: 	1130278 	1116915 	1110856 	1096924 	1092669 	1085111 	1080345 	1078451 	1073174 	994114 	902588 	795011 	669464 	558636 	594777 	653114 	730329 	808780 	868239 	856295 	845193 	824775 	817403 	799749 	784917 	766795 	756513 	747926 	733813 	716755 	700083 	676447 	655310 	636401 	619911 	609165 	589232 	569853 	556224 	543636 	532542 	523993 	514446 	509007 	498843 	486490 	475787 	464425 	452766 	437978 	432397 	419471 	408803 	401400 
NR,F,Y80-84,GE	48600 	46100 	46400 	56027 	: 	59456 	62733 	59502 	58691 	51307 	47108 	42500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,HR	82427 	81637 	81114 	79312 	76799 	73520 	71376 	68753 	67594 	66428 	66096 	64905 	63734 	60689 	54115 	46590 	38225 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,HU	161214 	160685 	162291 	161818 	161303 	159469 	161469 	159469 	157227 	155487 	157135 	155626 	153995 	151699 	137713 	120319 	103005 	87988 	85183 	96625 	110044 	123573 	132197 	129673 	127288 	122584 	119447 	114744 	113603 	109406 	106488 	104331 	104236 	103319 	102141 	99989 	98394 	95868 	90919 	88302 	85193 	81140 	77131 	73735 	71452 	68463 	67521 	67321 	66205 	63047 	62550 	59389 	58029 	54951 	51918 	49448 	47866 	45801 
NR,F,Y80-84,IE	46565 	45196 	44320 	43266 	42392 	41817 	41152 	40765 	40570 	40529 	40389 	39726 	39582 	38973 	37889 	36413 	35649 	34669 	34188 	34350 	34886 	34666 	34290 	33299 	32402 	31245 	30032 	28864 	27972 	27403 	27194 	27575 	26506 	25300 	25300 	25200 	24800 	23803 	23000 	22700 	22400 	22100 	21800 	21500 	21200 	20900 	20700 	20500 	20200 	20100 	19900 	19800 	19900 	20100 	20200 	20300 	20200 	19500 
NR,F,Y80-84,IS	3391 	3380 	3470 	3476 	3484 	3475 	3451 	3297 	3193 	3175 	3109 	3017 	2971 	2871 	2750 	2659 	2514 	2414 	2418 	2386 	2343 	2318 	2250 	2171 	2143 	2116 	2066 	2027 	2015 	1972 	1939 	1884 	1900 	1824 	1796 	1769 	1792 	1729 	1673 	1634 	1612 	1600 	1499 	1467 	1374 	1264 	1126 	1119 	1092 	1049 	1013 	983 	900 	837 	850 	871 	892 	947 
NR,F,Y80-84,IT	1230064 	1227709 	1232609 	1220568 	1200578 	1194053 	1185394 	1158555 	1150604 	1143765 	1136734 	1128594 	1118298 	1039776 	928790 	813573 	723720 	668184 	706414 	785389 	860537 	893534 	886153 	861844 	834269 	792614 	762835 	724814 	694133 	656141 	633169 	608390 	585921 	561017 	549425 	526914 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,LI	439 	418 	410 	386 	357 	354 	380 	388 	404 	410 	407 	384 	394 	363 	348 	301 	282 	264 	269 	263 	270 	272 	319 	277 	269 	256 	252 	229 	229 	216 	223 	209 	211 	179 	167 	170 	149 	145 	142 	132 	118 	119 	121 	117 	112 	: 	101 	: 	95 	91 	93 	92 	90 	89 	84 	80 	85 	72 
NR,F,Y80-84,LT	62581 	61246 	60847 	60644 	60947 	59568 	58907 	58079 	57108 	55022 	53272 	51087 	47813 	44061 	38706 	33486 	29983 	28790 	29079 	30769 	33917 	35883 	38083 	38692 	39325 	38906 	38890 	38196 	37174 	36846 	36319 	35116 	34749 	33878 	33106 	31009 	29702 	28204 	27241 	25140 	24166 	22850 	22329 	22301 	22884 	22930 	22524 	21618 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,LU	6989 b	7069 	7144 	7165 	7139 	7106 	7037 	6807 	6580 	6526 	6326 	6158 	6113 	5768 	5312 	4952 	4626 	4446 	4567 	4822 	5100 	5400 	5477 	5546 	5479 	5384 	5000 	4818 	4611 	4348 	4176 	3997 	3816 	3655 	3583 	3413 	3322 	3221 	3297 	3222 	3071 	2906 	2798 	2691 	2510 	2456 	2408 	2372 	2332 	2294 	: 	: 	: 	: 	: 	: 	1967 	: 
NR,F,Y80-84,LV	40723 	39866 	40069 	40619 	41376 	41292 	41223 	40870 	40697 	39750 	38779 	36803 	34118 	31600 	28804 	25418 	23414 	22931 	24121 	25621 	28501 	30765 	32393 	32373 	33058 	32450 	33201 	32639 	31931 	31555 	31335 	30376 	30140 	29358 	28751 	27350 	26822 	25912 	25359 	24437 	24179 	23600 	23592 	23375 	23558 	23184 	22401 	22008 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,MD	30718 	: 	30187 	30429 	32240 	31171 	31372 	30729 	30583 	29132 	29310 	26480 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,ME	7182 	6621 	6652 	6328 	6096 	5941 	5934 	5529 	5462 	5029 	4935 	4703 	4532 	4117 	4141 	4129 	4074 	4091 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,MK	19967 	19253 	18803 	17814 	16789 	16102 	15570 	14612 	14337 	14104 	13864 	13187 	13035 	12339 	11008 	9666 	8509 	7259 	6948 	7389 	8321 	8946 	9624 	9127 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,MT	6424 	6238 	6058 	5878 	5558 	5340 	5089 	4896 	4883 	4817 	4621 	4480 	4308 	4088 	3956 	3662 	3336 	2970 	2891 	2939 	2922 	2862 	2911 	2933 	2824 	2825 	2742 b	2676 	2572 	2427 	2377 	2347 	2208 	1868 	: 	1508 	1356 	1391 	1483 	1782 	1459 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,NL	234068 	231890 	231591 	229285 	228168 	224161 	221480 	217812 	216632 	216243 	216114 	216090 	216482 	210452 	202258 	196454 	189417 	181569 	182606 	184365 	184513 	182718 	181895 	178704 	176009 	172592 	170773 	168088 	164139 	159733 	155151 	151260 	146146 	140831 	135342 	130336 	125223 	121071 	116699 	113098 	107402 	102906 	98260 	93767 	89506 	86986 	84117 	81490 	79249 	75992 	73303 	70404 	67580 	64735 	62808 	60772 	59034 	56776 
NR,F,Y80-84,NO	60266 	60605 	61543 	62383 	63755 	64041 	64879 	65424 	67053 	68450 	70574 	72249 	74357 	73572 	72831 	72252 	70795 	67830 	68011 	66807 	65608 	64567 	63622 	62914 	62027 	60796 	59571 	58488 	57013 	56188 	55155 	54060 	53177 	51692 	50325 	48683 	47254 	45678 	44368 	42647 	40875 	39206 	37641 	36185 	34488 	33538 	32474 	31497 	30868 	30234 	29092 	27672 	26808 	26081 	26114 	25635 	25669 	25353 
NR,F,Y80-84,PL	575901 	572429 	574613 	572535 	571796 	559552 	545664 	531183 	515735 	502783 	492586 	469475 	438960 	409127 	363381 	317555 	288615 	265359 	264229 	282316 	312278 	334883 	356268 	353379 	352437 	342043 	340573 	330498 	: 	: 	: 	: 	301088 	: 	: 	: 	: 	225164 	: 	: 	: 	: 	173734 	: 	: 	: 	: 	156900 	: 	: 	: 	: 	112300 	: 	: 	: 	: 	85100 
NR,F,Y80-84,PT	213101 	209298 	205596 	200297 	194673 	188327 	183441 	177892 	174627 	169188 	164233 	157696 	153607 	144604 	136120 	129972 	124253 	121762 	122785 	125483 	126061 	125301 	123832 	119758 	115281 	111067 	106891 	102288 	99012 	97388 	94310 	90888 	89283 	85644 	80705 	76588 	73339 	66210 	63900 	61610 	61180 	60540 	52700 	47850 	50030 	48100 	54331 	48930 	50840 	49400 	49730 	47880 	48660 	45790 	45420 	43170 	45092 	40580 
NR,F,Y80-84,RO	323487 	312966 	312404 e	306038 e	303525 	291604 	291948 	292437 	294286 	253327 	215855 	217030 	177678 	177228 	174798 	168357 	148538 	135397 	130578 	151706 	178979 	192524 	200466 	197056 	192810 	185126 	175162 	166702 	161186 	158059 	153616 	149063 	151854 	145169 	138167 	129559 	123243 	111653 	109175 	114728 	112340 	107968 	101578 	98060 	98193 	95297 	94362 	94113 	91976 	89525 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,RS	117061 	116392 	117073 	115001 	111965 	108324 	105993 	101715 	99662 	97380 	94389 	90826 	88598 	82893 	71956 	60889 	49818 	39547 	37298 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,RU	: 	: 	: 	1894129 	: 	: 	2142174 	2076410 	2036514 	1920651 	1796109 	1636010 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,SE	140113 	139009 	140328 	140953 	143362 	144099 	145246 	146170 	148190 	149642 	151991 	155820 	160268 	159034 	157481 	156086 	151039 	143912 	144502 	144793 	144832 	144489 	144175 	142904 	141991 	139341 	137176 	134313 	130046 	126375 	123131 	119970 	117119 	112974 	109464 	104939 	101012 	97337 	94479 	91440 	88614 	86256 	83321 	80120 	77248 	74997 	72252 	70098 	68613 	66555 	63680 	60975 	58510 	56314 	54769 	54051 	52893 	51807 
NR,F,Y80-84,SI	36730 	36472 	36753 	36295 	35901 	35260 	34570 	33591 	33114 	32520 	31653 	30538 	28972 	27073 	23695 	20202 	16884 	14932 	14910 	16810 	19263 	21495 	22785 	22447 	21939 	21103 	20854 	20003 	19419 	18726 	18353 	17246 	18466 	18095 	17611 	16942 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,SK	65866 	66028 	66242 	66083 	65674 	64458 	63392 	62213 	61372 	61131 	61478 	61326 	60152 	57975 	50771 	43122 	35791 	31794 	30205 	35134 	40371 	44819 	47876 	47338 	46763 	45367 	45682 	44594 	42950 	41197 	40244 	39491 	39095 	38075 	37040 	35866 	34525 	32540 	31154 	29937 	28039 	26243 	24548 	23123 	22161 	21629 	20965 	21696 	21048 	19659 	19304 	18938 	18471 	17642 	17244 	16430 	15810 	14565 
NR,F,Y80-84,SM	: 	: 	: 	: 	535 	540 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,TR	473119 	470584 	486504 	484663 	456612 	428485 	418326 	382749 	357843 	366496 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	154312 	150443 	146694 	143068 	139557 	136155 	132053 	128158 	124456 	120936 	117589 	114600 	112265 	110521 	109307 	108573 	104071 	99866 	95946 	92298 	88909 	86067 	83439 	81001 	78733 	76614 	73215 	70101 	67239 	64601 	62163 
NR,F,Y80-84,UA	590385 	542196 	553019 	625438 	700032 	735950 	768025 	759459 	762152 	735403 	706962 	667446 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y80-84,UK	918016 	909920 e	903820 e	900834 	897583 	891427 	882111 	873276 	868847 	872101 	881806 	898557 	920182 	923994 	898353 	859747 	816340 	774530 	769652 	803507 	835696 	852990 	855585 	849914 	843966 	837725 	830979 	823635 	811663 	795585 	780163 	766316 	751495 	732210 	709854 	688199 	666520 	643888 	626359 	614575 	602792 	591405 	581197 	573229 	567393 	559701 	558200 	556300 	542600 	526900 	511600 	493300 	500000 	500000 	500000 	500000 	400000 	400000 
NR,F,Y80-84,XK	10191 	7656 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,AD	: 	: 	: 	: 	2612 	2657 	2657 	2898 	2803 	2714 	2579 	2469 	2415 	2337 	2204 	2078 	1920 	1833 	1721 	1633 	1496 	1386 	1285 	1266 	1165 	1069 	1019 	949 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,AL	81669 	77957 	75778 	72306 	69838 	68148 	66200 	62627 	60535 	58202 	56604 	55417 	50964 	50541 	49325 	47613 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,AM	102709 	102117 	99390 	: 	: 	: 	: 	82131 	82661 	80202 	76680 	74357 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,AT	486018 	470192 	452140 	433165 	430338 	431341 	430730 	430980 	430990 	429913 	427312 	423864 	419175 	414434 	411706 	409437 	399480 	390247 	380492 	368855 	357150 	345878 	336315 	334738 	343761 	354063 	363160 	367295 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,AZ	162765 	162802 	156948 	151981 	143411 	136429 	127840 	121310 	130100 	122300 	114000 	113200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,BE	612453 	616455 	617120 	610286 	604409 	600041 	593364 	586690 	578341 	570324 	557398 	544499 	531072 	519840 	511199 	502026 	490401 	478859 	467359 	454958 	443094 	429804 	415938 	413973 	424286 	433053 	439451 	439714 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,BG	386393 	383846 	382696 	381997 	379252 	377872 	373139 	368988 	359057 	351176 	342765 	337451 	328577 	321689 	313437 	304950 	286738 	277522 	263920 	255918 	246103 	239049 	227714 	222412 	228433 	240739 	250248 	246139 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,BY	484981 	483640 	479865 	470357 	459144 	446968 	435420 	: 	433805 	431227 	417709 	412385 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,CH	424126 	415731 	410530 	404134 	398890 	394636 	388482 	388396 	382807 	377002 	370887 	364618 	358430 	352486 	348120 	344106 	333861 	328197 	323076 	317927 	313649 	308026 	302698 	300263 	299001 	297818 	296166 	293088 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,CY	31370 	30093 	29140 	28176 	27087 	26361 	25677 	24852 	24116 	23417 	22860 	21888 	21405 	20854 	20292 	19818 	18966 	18596 	18196 	17968 	17721 	17394 	17133 	16871 	16562 	15784 	15006 	14278 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,CZ	486482 	475319 	467124 	460964 	457686 	456131 	453721 	451068 	447918 	442467 	434447 	425248 	415817 	407318 	399448 	390594 	380178 	373982 	361409 	347155 	333471 	320483 	313094 	314041 	329697 	345070 	359894 	369223 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
