unit,sex,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
NR,F,TOTAL,CZ	5378133 	5367513 	5361348 	5350039 	5351776 	5347235 	5339500 	5325922 	5309105 	5278305 	5243638 	5233925 	5228199 	5228205 	5230950 	5235670 	5249667 	5277036 	5284186 	5290395 	5297052 	5304829 	5312697 	5314716 	5312284 	5306546 	5303641 	5326444 	5326892 	5323143 	5321505 	5321474 	5319646 	5317388 	5316340 	5310895 	5303918 	5310984 	5288558 	5262227 	5233740 	5201299 	5166285 	5131518 	5101215 	5077341 	5059168 	5101807 	5090506 	5079721 	5066048 	5046795 	5023767 	4995380 	4966815 	4948987 	4928244 	4941152 
NR,F,TOTAL,DE	41824535 	41661561 	41362080 	41210540 	41142770 	41097953 	41097465 b	41698651 	41818073 	41943545 	42013740 	42098034 	42147222 	42175657 	42191801 	42165633 	42103004 	42072699 	42032869 	42065068 	42057327 	41992676 	41893638 	41819609 	41674551 	41435461 	41253250 	32442597 	32021988 	31818689 	31855080 	31830458 	31869535 	32000881 	32118246 	32189833 	32176912 	32122268 	32107392 	32136229 	32179200 	32263124 	32387025 	32387627 	32276124 	32135076 	31929543 	32014629 	31746795 	31529981 	31393339 	31125574 	30822719 	30512921 	30219000 	29951354 	29630616 	29345361 
NR,F,TOTAL,DE_TOT	41824535 	41661561 	41362080 	41210540 	41142770 	41097953 	41097465 b	41698651 	41818073 	41943545 	42013740 	42098034 	42147222 	42175657 	42191801 	42165633 	42103004 	42072699 	42032869 	42065068 	42057327 	41992676 	41893638 	41819609 	41674551 	41435461 	41253250 	41003093 	40723818 	40544815 	40591343 	40592848 	40661086 	40825410 	40958488 	41046356 	41059485 	41023108 	41027862 	41077045 	41140341 	41265958 	41442967 	41487542 	41420888 	41315802 	41132596 	41237560 	40990528 	40789960 	40656464 	40385630 	40078216 	39909522 	39610931 	39326303 	39013830 	38856574 
NR,F,TOTAL,DK	2888591 	2869364 	2848701 	2834956 	2823776 	2813740 	2804046 	2791452 	2779431 	2763125 	2750422 	2741613 	2734113 	2727505 	2721084 	2714208 	2704893 	2695898 	2688156 	2679191 	2670184 	2658805 	2642394 	2633200 	2626020 	2617672 	2610078 	2604812 	2601613 	2601258 	2598774 	2595710 	2594036 	2594188 	2595244 	2595330 	2595764 	2593012 	2585949 	2577115 	2567052 	2558469 	2550193 	2538020 	2522727 	2505460 	2490784 	2474425 	2460720 	2448014 	2430202 	2409799 	2390631 	2371255 	2352150 	2333676 	2315982 	2300897 
NR,F,TOTAL,EA18	172764114 bp	172360520 p	171900727 b	171411548 	170697954 	170332244 b	169951706 b	170010274 	169559351 	168854706 b	167911318 	167163744 	166384509 	165479842 	164613498 	163756891 	163094617 	162541590 	162029912 	161710110 b	160516889 	160128210 	159730419 	159336542 	158837147 	158175626 	157570363 	156921230 	156293539 	155754748 	155468844 	155115906 	154862161 	154636270 	: 	154031150 	153544502 	152897830 	152307140 	151705169 	151098963 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,EA19	174299832 bp	173919471 p	173475732 b	172999025 	172300968 	171952374 b	171597071 b	171702051 	171269855 	170579892 b	169654507 	168925116 	168177465 	167294753 	166443897 	165597974 	164950685 	164409363 	163908752 	163600717 	162419061 	162041857 	161656202 	161274466 	160785071 	160129163 	159521355 	158867465 	158229388 	157672162 	157369277 	156998287 	156728828 	156488757 	: 	155854410 	155356457 	154699758 	154099191 	153484742 	152866008 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,EE	698097 	699236 	700166 b	700900 	704007 	707079 	709960 	712490 	714420 	716390 	718660 	722770 	727140 	730800 	735200 	739210 	743650 	748170 	742978 	750075 	756506 	765837 	776811 	790952 	807998 	828123 	834200 	836061 	834270 	830954 	825726 	820097 	815398 	810533 	805761 	800677 	795741 	790617 	787202 	782521 	776846 	772075 	767451 	761913 	756198 	749613 	741791 	733185 	727568 	722117 	718459 	714321 	708120 	700330 	692418 	685707 	677929 	674328 
NR,F,TOTAL,EEA30	262097487 bp	261524988 ep	260871038 be	260134370 e	259269416 	258746076 b	258194604 b	258049725 b	257524901 	256621458 b	255653398 	254750609 	253851746 	252859079 	251946995 	251087710 	250779121 	250178893 b	249762306 	249384481 b	248152754 	247729912 	247269932 	246736910 	246092898 	245308416 	244669187 	243869611 	: 	: 	: 	: 	240624955 	: 	: 	: 	: 	237198654 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,EEA31	264246490 bp	263692860 ep	263057127 be	262331431 e	261475073 	260959751 b	260415709 b	260277921 b	259757930 	258856437 b	257890747 	256989163 	256090326 	255095963 	254183994 	253324177 	253010430 b	252513550 be	252113956 	251740990 b	250507297 	250109461 	249689854 	249149696 	248459257 	247687840 	247133818 	246329589 	: 	: 	: 	: 	243044878 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,EFTA	7041680 	6976972 	6913804 	6839585 	6764913 	6697052 	6628873 b	6562506 	6494678 	6416432 	6353647 	6311254 	6272656 	6233599 	6196385 	6153649 	6114808 	6081127 	6044631 	6015765 	5994903 	5972195 	5937622 	5898542 	5852908 	5805869 	5751072 	5697035 	5663401 	5624467 	5590592 	5561556 	5539562 	5518274 	5500943 	5473037 	5444478 	5419800 	5401398 	5386994 	5377880 	5383941 	5386910 	5355418 	5318239 	5271341 	5234331 	5207646 	5158911 	5105880 	5049569 	4997740 	4955172 	4900539 	4831931 	4752608 	4662794 	4614773 
NR,F,TOTAL,EL	5546916 	5559538 	5589628 	5613568 	5637364 	5662522 	5669948 	5658424 	5638650 	5612990 	5593763 	5571325 	5551450 	5534293 	5520990 	5507229 	5505941 	5474106 	5457870 	5429540 	5397100 	5374260 	5347307 	5323509 	5293502 	5261868 	5216182 	5138914 	5109666 	5086737 	5070561 	5050772 	5040100 	5017620 	4992484 	4961078 	4936482 	4881854 	4850568 	4768966 	4732914 	4642909 	4586952 	4560652 	4556373 	4523501 	4500567 	4496139 	4504043 	4462034 	4451418 	4397054 	4388771 	4352132 	4348312 	4311290 	4293142 	4285115 
NR,F,TOTAL,ES	23693426 	23632635 	23623019 	23634738 	23710130 	23719207 	23617694 	23504347 	23358739 	23077456 	22665690 	22290653 	21961051 	21622874 	21285371 	20919754 	20741653 	20643843 	20559311 	20478884 	20391551 	20307916 	20221727 	20130190 	20032645 	19925307 	19838598 	19813442 	19778621 	19735868 	19683096 	19625071 	19558571 	19477810 	19394758 	19290450 	19167940 	19023427 	18868438 	18700859 	18521877 	18333864 	18150004 	17957231 	17772628 	17580396 	17398898 	17173310 	17029108 	16848661 	16559515 	16448322 	16279822 	16121618 	15984967 	15865674 	15626760 	15495960 
NR,F,TOTAL,EU27	259301920 bp	258753671 ep	258121020 be	257412325 e	256575039 	256081433 b	255558439 b	255442459 b	254945404 	254071506 b	253129131 	252245981 	251365496 	250388089 	249489434 	248645365 	248348670 	247761502 b	247362523 	246999938 b	245781576 	245371229 	244922961 	244403075 	243774033 	243003650 	242378341 	241588889 	: 	: 	: 	: 	238396031 	: 	: 	: 	: 	235016192 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,EU28	261450923 bp	260921543 ep	260307109 be	259609386 e	258780696 	258295108 b	257779544 b	257670655 b	257178433 	256306485 b	255366480 	254484535 	253604076 	252624973 	251726433 	250881832 	250579979 b	250096159 be	249714173 	249356447 b	248136119 	247750778 	247342883 	246815861 	246140392 	245383074 	244842972 	244048867 	: 	: 	: 	: 	240815954 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,FI	2790970 	2785818 	2779890 	2770906 	2760052 	2748733 	2736860 	2726360 	2714661 	2703697 	2693213 	2683230 	2674534 	2666839 	2661379 	2657304 	2651774 	2648276 	2643571 	2638251 	2631724 	2625125 	2617105 	2607716 	2597700 	2585960 	2572274 	2561623 	2552991 	2545734 	2539778 	2532884 	2524520 	2512686 	2498846 	2484677 	2472935 	2464508 	2457298 	2451299 	2444444 	2438377 	2428572 	2416619 	2404350 	2391875 	2378351 	2384060 	2393611 	2387057 	2373241 	2362646 	2357227 	2348766 	2332974 	2317914 	2303959 	2288381 
